text,,rate
Made it to my gate. So far. so good. Thanks @JetBlue for the peace of heart! Happy to see nothing delayed or canceled yet!,1,0.9493
Flight delayed. but not cancelled! Thanks for getting me home @JetBlue and thanks to Jessie at #ORD counter for being so friendly &amp; happy! ,1,0.9442
very happy to see my favorite airline @JetBlue on list of TOP 5 airlines!! have never had a bad experience. delay or lost bag! Love you guys,1,0.9307
@JetBlue Deandre is BY FAR the BEST employee you have! He was so helpful and kind when our flight got cancelled and no one else would help!,1,0.9231
Wow! Thanks to @Jetblue for the free snacks and water at the gate while our flight is delayed out of OHare.  Much appreciated!,1,0.9183
Pretty happy with @VirginAmerica ATX baggage service for taking care of my baggage issues almost immediately :),1,0.9156
Still love @VirginAmerica. Even my call to silver service was pleasant &amp; helpful. Please add more routes so I never have to fly anyone else.,1,0.9118
@JetBlue Great service at the gate for Flight 1075 to Orlando. even with slight delay. Gate agents friendly. funny. &amp; pleasant - esp Hayley!,1,0.9098
On my way home from FLL to BOS. flight delayed by over 1 hour. It's a good thing I love @JetBlue . Thanks for the free WiFi aka Fly-Fi,1,0.9081
Once again sad to go home but loving @JetBlue &amp; their imperial #customerservice! Best airline ever even International http://t.co/7C09x6tjvl,1,0.908
@AmericanAir again and again please somethings we never forget !!! First business or Coach we desire respect! Please do something very fast!,1,0.9049
@JetBlue is gonna charge for checked bags. They WERE better than other airlines. more customer focused. but now only care about profit #fail,0,0.9009
Love the @AlaskaAir service.  Even when its 2:50am. the CSAs are happy to help.  Of course. I realized it was that late after I called in.,1,0.891
@JetBlue Flight Canceled. gonna miss sister's wedding. but your agent Jenny (17498) spent THREE HOURS helping us get rebooked. AMAZING! LUV!,1,0.8856
first time flying @VirginAmerica who promises me free tv entertainment. I can't even listen to music b/c my seat doesn't work. disappointed,0,0.8821
@AmericanAir Need to add a KTN to an existing USAir reservation. Have called many times but can't get through. Frustrated. Please help.,0,0.8797
@JetBlue yes. everything went as smoothly as a two hour delay could go! Thanks for being so awesome!,1,0.8786
@JetBlue never riding with them again after the bomb scare on my flight from Long Beach. flight staff didn't handle the situation well,0,0.8779
One thing I loved bout flying @AlaskaAir is they never charged 4 anything extra! That extra leg room The service was also outstanding! ,1,0.8772
@united - UA283 delayed an hour for our departure out of IAD but the onboard crew is keeping us comfortable! Kudos to the crew!,1,0.876
Smart move on @united end. Have support at boarding area to help passengers download united app for streaming media beta. #iah-&gt;SNA #delayed,1,0.872
@SouthwestAir been a loyal customer for years but this trip will ensure I don't travel again. Worst customer experience I've seen in a while,0,0.8717
Hey @SouthwestAir. Nate on flight 4939 was the best FA ever. I just wish the flight was longer! Clone him. please!,1,0.8684
@AmericanAir another itinerary. another maintenance issue. but kudos to crew and gate agents taking care of us. AA94 http://t.co/VgFgHQ1NKt,1,0.8674
@DeltaAssist 16+ hour delay ruined my trip. was promised travel vouchers at airport but offered a $100 gift card when i called. Please help!,0,0.8655
@AmericanAir horrible flight experience! Reminder why I prefer not to fly American. but thankful to be back in NY safely!,0,0.8652
@united Managed to get my refund thru customer care. Still doesn't excuse the inability of call center agents to help resolve or escalate.,0,0.8603
Ticket is free cancel. but when using points to book @VirginAmerica - $100 fee to credit points back. That's not free cancellation. kids.,0,0.8591
@AlaskaAir holiday travel is the worst but your gate agents. flight attendants. and pilots were awesome from ewr to anc. Thx!,1,0.8588
So my luggage broke on my way home. and @JetBlue gave me a new suitcase as an apology. Thanks again! :D Very kind! http://t.co/m1MxcqgbD0,1,0.8536
@JetBlue taking great care of us despite technical issues and delays. #flight536 FLL&gt;SWF cancelled flying to JFK instead :),1,0.8519
Wow. For the privilege of speaking to a @VirginAmerica agent after a 23-minute wait. you will be charged a $20 service fee. Wow.,0,0.8519
First time through @SouthwestAir boarding procedure. Different. but not bad. Can't figure out why no other airline innovates like this.,1,0.8491
Oh the joys of travel! Mechanical issues. deboarding now_ Hopefully @DeltaAssist can help!  #FLIGHTDELAYED #DIA,1,0.8475
Incredible A ++ helpful customer service at sfo from @VirginAmerica  - helpful and nice to a very late family of 3 - Rare but appreciated.,1,0.8462
Hey @united your customer service reps are the BEST! Their helpfulness almost makes up for the fact that a your flights are late.,1,0.8452
Never flown @AlaskaAir before. So far the staff at DCA has been great. Joyce at Gate 18 has been a huge help.,1,0.8442
Long delay at #LAS but @JetBlue has handled it like rockstars giving us a credit on our next flight with them and a meal comp.,1,0.8442
