text,,rate
Thanks @JetBlue for upgrading me to #Mint after I got super late to the airport! Being late is good sometimes! LOL! #Mosaic loving jetBlue!,1,0.9601
"@JetBlue  you are just ""wicked"" awesome!!! FOX 5 just aired how you came to the rescue &amp; brought National Champion cheerleaders home!",1,0.94
Even delay due to snow in DC doesn't matter when the crew is so great! Happy employees - great WA company! @AlaskaAir http://t.co/0ZpGiVSEGQ,1,0.94
thank you @JetBlue for an amazing experience. flight almost an hr delayed yet still an amazing flight with great staff #backhome #floridahot,1,0.9269
@JetBlue Thanks! Missing surprise engagement party. spent 100 bucks on booze and had 2 glasses of wine spilled on me. Delays are great!,1,0.9214
@JetBlue Flight 324 on 3/17 - delay b/c of construction at JFK. but crew was great. best flight I've been on in years! #newfan,1,0.92
@JetBlue Your DCA check in and gate crew was AWESOME tonight. They're the only reason I didn't miss my flight and were happy to help!,1,0.9181
@VirginAmerica gave a credit for my late flight yesterday. Great service !!!! That's a Wow moment! Unexpected gesture!,1,0.913
It's been along time since flying was so pleasant. Thanks @AlaskaAir for no baggage fees. free beer and very nice employees.,1,0.912
Amazingly helpful and friendly service this am from our friends at @JetBlue! Thank you for kicking off our vaca on the right start,1,0.909
YES! @JetBlue deals from $49 o/w WAIT! fly Tues/Wed only YES! so cheap. who cares? http://t.co/nfpgtM7kvJ  #farecompare #cheapflights,1,0.9002
@JetBlue staff is really unhappy my TV doesn't work - I have audiobooks so I'm ok but they're really apologetic &amp; taking great care of me!,1,0.8987
@AlaskaAir Not gonna lie to ya! Plus he was kind and smart and comforting. THAT'S customer service. PS I'm single. Captain! :-),1,0.893
Love having beautiful weather and STILL being delayed. Thanks @JetBlue!,0,0.8858
Omg I love you @VirginAmerica! You just saved me from missing my flight from JFK back to LA! THANK U!!,1,0.8807
Love ending a great vacation stuck on the runway for an hour and a half. Thanks a lot @JetBlue.,0,0.8807
Thanks to the @JetBlue staff at PBI! They were kind and helpful despite all the angry. cancelled New Englanders in their line. #toughjob,1,0.8777
Wow. @JetBlue! Pilots for tonight's flight 1185 are amazing! Thru horrible weather- but shared updates. info. &amp; minimized bumps! Thank you!,1,0.877
@AlaskaAir Thanks for making a bad day just a little better with great staff (esp Kari BOI to PDX) and a great view! http://t.co/7iPeHht3zY,1,0.8742
@AlaskaAir thanks for the upgrade on the way to Boston. The service was so good I wish the flight was longer!,1,0.8724
"Really hoping @SouthwestAir is just joking around with this whole ""delayed"" thing. Please. please. please.",1,0.8718
Can't wait to be in Jersey next week &amp; NYC the week after!!! Thanks to @VirginAmerica. I'm not even dreading the flight! #happygirl #home :),1,0.8703
Home. woo. And of course. waiting for a gate. Still. @JetBlue is the gold standard of air travel. Thank you. crew of 687 for being awesome.,1,0.8658
@AlaskaAir love your airlines sitting at LAX waiting for flight to Sea then ANC Still love the Seahawks!,1,0.8655
Thanks @JetBlue for returning my lost wallet from #LAX!  Love the honesty &amp; diligence!,1,0.8619
@DeltaAssist what's the issue with weather in nyc? rebooked on new flight but have a layover. is this best case scenario?,1,0.8541
Hate being away from my family but @AlaskaAir  flying all 6 of us to Cali for $334 round trip sure makes vacations better. Thanks #MVP,1,0.8519
Wow. The boarding guy said 30 seconds later and I would have missed my flight. Thank you @JetBlue. I love you.,1,0.8519
I've flown quite a few airlines this year. none especially bad but none that top @JetBlue...Great service. entertainment and snacks! Thanks!,1,0.8511
MT don't make us cross Tarmac on return: @AlaskaAir: Hi Dorothy! Thanks for the feedback. Hope you have a nice week! -Linnea,1,0.8475
"Thanks @alaskaair for ensuring our group of 54 didn't miss our flight #16 this morning.  Your staff was excellent""",1,0.846
So sad to be back home from LA &amp; facing this snow. but thank you @JetBlue for great flights and service each way (as always)!,1,0.84
@VirginAmerica took splendid care of me during the weather/radar delay in Chicago.  Off to LAX we go! :),1,0.8398
@JetBlue never disappoints! Many delays to get back to FL. but Ricardo and Ariana in DC were the best!,1,0.8392
Losing 1-2 inches of leg room sucks. but gaining an outlet to charge my devices is amazing. Also. who checks bags??? @JetBlue,1,0.8355
Good flight home to DCA on @AlaskaAir - great crew and no issues. Glad to see our previous flight w/issues was a misnomer,1,0.8316
Everybody was super helpful today traveling EXCEPT for the peeps at @VirginAmerica ORD check-in; so disinterested- couldn't be bothered.,1,0.8254
Dear @JetBlue: Please. please. please don't cancel flight 775 JFKMSY. It'll be the 2nd time your airline makes my parents miss a cruise.,1,0.8243
@united confirmation: 06MD6Z Need to get to MRY. but UA415 was late coming in. NEED HELP.  Whats up with flight UA5503. Please hold.,1,0.8224
Awesome @AlaskaAir pilot directed us to the #grandcanyon below. Amazing what you'll miss if you don't look! http://t.co/jfZTsyjbgT,1,0.8221
@JetBlue delayed due to weather. Staff giving lots of helpful updates AND passing out water bottles to everyone at the gate. You're the best,1,0.8176
Haha. this kid got kicked off a @JetBlue flight for being a brat. Another reason I love JetBlue &amp; their social media! http://t.co/1DhkxJ9Y8c,1,0.8172
@JetBlue love your airline! Never failed me once yet!,1,0.8169
As a loyal traveler and lover of @SouthwestAir I am LUVing their new revamp! Can't wait to fly again!,1,0.8168
@SouthwestAir is the BEST. Because of a flight delay. they offered $25 vouchers to anyone who would tell a joke. Guess who got it?!?!,1,0.7768
@DeltaAssist is Ok.  Im not really upset.  I just wanted to fly more comfortably,1,0.7713
"@AlaskaAir - Andre. thanks. Still a fan &amp; customer but left my multi-year AS gold status after numerous ""issues"" - good to hear the AS news",1,0.7543
Ok @united I am leaving tomorrow. please don't cancel my flight again!! I am going home!!,1,0.7512
@AmericanAir oh I'm sure. Honestly. I don't even know where to start. You've lost a very loyal flier.,0,0.7501
@AlaskaAir hi could you kindly follow me. I need to DM you about a codeshare issue (nothing too formal) thanks so much!,1,0.75
Today I had many hours delay inside the plane #lax #sfo in @VirginAmerica and actually enjoyed it! #honest #fun #real amazing company!,1,0.7494
Flight switched. I'm out tomorrow morning at 6! Thank you @JetBlue for letting me switch my flight free of charge!,1,0.7494
@AmericanAir it looks like the last 400 tweets are all problems...please don't make me late tomorrow!!! Haha.,1,0.7488
Hey @JetBlue issue a fee waiver for a flight change into JFK. I'm not trying to die tomorrow afternoon. Thanks in advance!,1,0.746
@VirginAmerica aint mad at your new safety video!!! &lt;3 g6,0,0.7433
Chicago winters do get cold @united if Honolulu is truly waiting for me like you said. wanna spare some tickets? ;) http://t.co/zM1S2YYHel,1,0.743
_ @VirginAmerica  Boston to Vegas. Wicked Fun. Help us celebrate our new BOS - LAS seasonal route....: Boston... http://t.co/BUTJaYi488,1,0.743
Thx to whoever stuck gum on my seatbelt on my flight back home. I got a $50 credit towards my next flight thanks @AlaskaAir !,1,0.7424
@VirginAmerica Love flying Virgin SFO - LAS. first class all the way &amp; tell everyone who will listen to not bother with UAL or AA.,1,0.738
@JetBlue thanks to the kind gate agents at LAS for helping me to return a lost cell phone. #goodkarma #Vegas,1,0.7351
Left at like 3:05 for a 6 am flight out of Indy. #Missed it. @AmericanAir saved the day. Having green bean fries at Fridays n Ft Worth.,1,0.7351
@JetBlue Thanks for the swift response! Is it ok if the tube is longer than the carry-on overhead bin requirements?,1,0.7345
Bobby in Idaho just helped me fix a ticketing mess with grace and ease! Thank you Bobby! You rock! #Giveheraraise @AlaskaAir,1,0.7332
One of 40 on a 737?? Best flight.  Heck yea all the legroom.  Heck yea @SouthwestAir!! http://t.co/s4ayuF1v7G,0,0.7306
Not a first class upgrade but no one in the middle is not a bad way to end my last year being #mvpgold. Thanks for arranging @AlaskaAir! ,1,0.7284
@JetBlue did a good job of making the best of a bad situation yesterday.  Thank you,1,0.7269
@AlaskaAir is amazing. Tiffs flight was delayed from SLC. due to weather. they sent a credit of $75 without us asking!Great service!,1,0.7256
Missed my flight back to Vegas but @AlaskaAir is awesome &amp; got me flight out of Portland. First time seeing Oregon &amp; can't wait to come back,1,0.7227
@AmericanAir I don't see an option to use my AA virtual gift card to pay for my award flight on hold. Any suggestions?,1,0.7184
