,index,text
4,10,Slightly delayed flight home from Philly. but at least there's complimentary tea! @JetBlue #mydunkin http://t.co/G8QfSFUVpa
15,21,Big ol shoutout to @united for stranding us in DC for 24 hours. forcing me to miss my #teamAries presentation practice tomorrow! #cee300
22,29,The reps of @JetBlue are far less than pleasant up here in Buffalo. Bad mood guys?  We are the passengers.
37,45,@united flight crew on flt1655 gets kudos for keeping ditectv going during baggage delay.  What's with the ground crews here at ORD?
39,47,Both my departing and return @AlaskaAir (SEA&lt;-&gt;SFO) flights were delayed this weekend. Unusual bad luck or a sign of faltering service?
46,54,@JetBlue flying out of ACK tmrw. Understand there were delays today due to mechanical. Everything back on sched?
55,65,@AmericanAir My suitcase better make it. Would hate for on top of everything else it missed the connection!
56,66,@SouthwestAir flight 1222 PHX to STL LATE AGAIN!! Why does SWA keep allowing a connection from L.A for this flight? We always have to wait!!
60,71,@united Houston terminal C club has a bunch of broken power outlets.
61,72,@SouthwestAir the upside to being stuck on a plane for a broken toilet is getting to catch the sunset in #vegas http://t.co/E2Lj88YAXT
65,78,@SouthwestAir I have a problem on my plane
94,108,@VirginAmerica trying to cancel my flight and was told to email my doctors note. who would i contact?
97,111,methinks something @jetblue be broken. Or they invented teleportation. Id be ok with teleportation. http://t.co/rVt1lkCWMk
107,121,@SouthwestAir it was handled so poorly. ;(
109,123,Gotta say @united disappointed my 10 hr flight had leaky condensation the crew knew about.  Napkins aren't a solution for an unwanted shower
110,124,Oh snap! Business class upgrade across the Atlantic! @united kicks ass!
111,125,@AmericanAir Hello. I have a problem with my reservation. impossible to check in http://t.co/f9SfIyrzXk
113,127,Off on my holiday tomorrow can't wait and gonna fly with @united  :)
114,128,What the heck is this thing in the seat next to me @AmericanAir ? Never seen it before. http://t.co/kiWg6V7WUB
117,131,Early flight to #NewYork with @JetBlue .. I'm gonna miss #Disney
120,134,Waiting for our @JetBlue flight to our honeymoon! So excited to go to Saint Lucia with my new hubby! #honeymoon _ http://t.co/2purBQMR9I
127,142,I hope @United will resolve this issue properly #CustomerSvc
129,144,Homeward bound and can't wait!!! (at @United Airlines in Chicago. IL) https://t.co/TaD1uA9TDU
130,145,Run finished this AM-heading to bfast with my girlfriends-lil bit of work-then flying back to Cali!  @SouthwestAir please don't b late!!
137,152,@AmericanAir you are flying AA79 London -DFW and DFW- London with broken wifii for days. Sad :(
144,159,Ok come on we are late let's goooo @united
153,168,@united. If the regional sickout happens. can you cancel our EWR-RDU flight before we leave Vienna so we get an extra day please :-)
158,173,@SouthwestAir I'm on a plane to Austin that is going land in Dallas cuz of mechanical issue. Dallas is my final destination. Can I get off?
160,175,@SouthwestAir -hubby is A List. Traveling w/ 3-yo companion. had to wait for family board. Why can't companions get on w/ A-List? With 3-yo?
180,195,Man @united terminal C in newark is a f'in mess. Ugly. paint is chipped everywhere. missing roof panels. this is like Somalia airport level
210,227,I've never flown with @VirginAmerica but it looks really cool
221,239,@AmericanAir just got on plane - that's narsty! Worst part - the past passenger didn't save any chips for me! http://t.co/SDAne4JmvZ
238,258,Our @united plane smells like a combo of pee.. sweat.. and tomato juice _
245,266,@JetBlue thanks for ruining our vacation!!! #worstairlines #neveragain
250,271,@AmericanAir was supposed to leave at 10:30 on AA#3539 but mechanical issue pushed flight back.
251,272,@jetblue your plane caught on fire midair and now we have to wait 3 hours for a new one. can't wait for our full refunds
259,280,@JetBlue not too happy. On way to st maarten diverted to bermuda. Plane broke. waiting for new one. Stuck in AirCanada lounge. no food.
260,281,@americanair I just got emailed a mobile boarding pass that isn't mine. This seems like a problem.
273,294,@VirginAmerica never disappoints. _
290,312,@united unacceptable as the crew could have done better to turn around the flight
291,313,@AlaskaAir had one working check-in kiosk in the Atlanta Airport. This seems like a poor ratio.
315,337,Moodlit mimosa at 30.000 feet in @VirginAmerica 1st Class not a bad way to start a vacay if I do say http://t.co/s23s6ouQZV
317,339,No @AmericanAir or US Airways lounge in DTW. It's a big airport. so I'm surprised. Sad face. At least I'm checked in and coming home!
318,341,I thought I was having a bad day when I was harassed on @SouthwestAir flight from Chicago earlier. By all of the flight attendants #racism
322,346,I fly about once a month. I can't remember the last time I've caught an on time @SouthwestAir flight. This. Sucks.
340,365,"i usually hate emails .. but when i don't ... it's a @SouthwestAir ""your trip is around the corner"" email _ "
347,372,Actually. @VirginAmerica  is so fucking chill #sfo
350,375,@JetBlue honestly I've never had a more stressful traveling situation!!!! From broken planes to inflight crews being late.... So frustrating
353,379,@AmericanAir could I ask why you are so shit?
360,387,Free upgrade to Main Cabin Select on @VirginAmerica ... Never happens!! #winning San Francisco bound _
381,415,@VirginAmerica just flew into Philly and picked up our cymbal bag. It didn't leave SFO like this. #partyfoul http://t.co/pz0XmWFM5D
382,416,So angry @VirginAmerica is pulling out of Philly. Super disappointing decision.
391,425,@southwestair Shamu flying out of ABQ. I'm gonna miss this bird.. I mean whale.. Either way I'm going__ http://t.co/FLh1mqYPzm
395,429,I'm on a @United flight at LAX. waiting to take off for EWR. #travel
410,445,@SouthwestAir IF YOU DONT GET THIS PLANE IN THE AIR I'LL LEAVE MY TRAY DOWN AND SEAT BELT UNBUCKLED FOR TAKE OFF! How you like them apples?!
